;roles_roles;roles_keywords
493;scientist,engineer;(astro|bio|geo)?physic(s|ist)?,^((?!software).)*engineer
495;financial_analyst;actuary
496;scientist;(astro|bio|geo)?physic(s|ist)?,physical science
498;engineer;^((?!software).)*engineer
499;presenter;lecturer
500;researcher;research(er)?
504;scientist;(astro|bio|geo)?physic(s|ist)?
505;developer;software (engineer|architect)
509;financial_analyst;financial (model(er|ing)|analyst)
515;scientist;(astro|bio|geo)?physic(s|ist)?
517;developer;develop(er|ment)
519;;
524;student;student
525;developer,data_scientist;programmer,data analys(t|is)
534;student;student,phd
535;researcher,engineer;research(er)?,^((?!software).)*engineer
536;tester;quality assurance
540;scientist;bioinformatic(s|ian)
541;developer;develop(er|ment)
542;author;author
549;student,scientist;student,(astro|bio|geo)?physic(s|ist)?
551;financial_analyst;financial (model(er|ing)|analyst)
556;data_scientist,educator;data(\s|-)scien(ce|tist),teach(er|ing)
559;developer;software (engineer|architect)
561;data_scientist;data(\s|-)scien(ce|tist)
563;student;student
565;data_scientist;data(\s|-)scien(ce|tist)
575;developer;develop(er|ment)
576;researcher;research(er)?
578;scientist;biologi(st|cal)
579;data_scientist;data(\s|-)scien(ce|tist)
580;data_scientist;data analys(t|is)
584;student,data_scientist;student,machine learning
587;independent;consultant
592;engineer;^((?!software).)*engineer
594;data_scientist;data(\s|-)scien(ce|tist)
595;financial_analyst;financial (model(er|ing)|analyst)
600;developer;develop(er|ment)
604;data_scientist;data analys(t|is)
605;student;student
606;developer;programmer
607;data_scientist;data(\s|-)scien(ce|tist)
610;analyst;^((?!(data|financial)).)*analyst
612;developer;software (engineer|architect)
613;scientist;(astro|bio|geo)?physic(s|ist)?
616;student;student
617;developer;develop(er|ment)
620;data_scientist;data analys(t|is)
622;financial_analyst;financial (model(er|ing)|analyst)
623;researcher;research(er)?
627;educator;teach(er|ing)
630;student;student
633;researcher;research(er)?
638;developer;develop(er|ment)
640;student;student
641;financial_analyst;financial (model(er|ing)|analyst)
643;scientist;(astro|bio|geo)?physic(s|ist)?
646;researcher,developer;research(er)?,develop(er|ment)
649;data_scientist;data(\s|-)scien(ce|tist)
651;researcher,data_scientist;research(er)?,machine learning
653;student;student,phd
654;independent,scientist;hobby?(ist)?,epidemiologist
657;independent;hobby?(ist)?
661;student,analyst;student,^((?!(data|financial)).)*analyst
662;data_scientist;data analys(t|is)
663;tester;test(er|ing)
664;data_scientist;data analys(t|is)
666;data_scientist;data(\s|-)scien(ce|tist)
667;educator;educator
668;developer;develop(er|ment)
669;developer;programmer
671;data_scientist;data(\s|-)scien(ce|tist)
672;;
